PostOfficeName,Pincode,City,District,State
Rambha,132123,Karnal,Karnal,Haryana
Tirawari,132123,Kaithal,Kaithal,Haryana
Vehana,132124,Karnal,Karnal,Haryana
Saunkra,132125,Karnal,Karnal,Haryana
Pehowa,132128,Pehowa,Kurukshetra,Haryana
Ismailabad,132129,Kurukshetra,Kurukshetra,Haryana
Byana,132130,Kurukshetra,Kurukshetra,Haryana
Jhansa,132130,Kurukshetra,Kurukshetra,Haryana
Pipli,132131,Kurukshetra,Kurukshetra,Haryana
Ladwa,132132,Ladwa,Kurukshetra,Haryana
Radaur,132133,Radaur,Kurukshetra,Haryana
Daula,132134,Kurukshetra,Kurukshetra,Haryana
Shahbad G T R,132135,Kurukshetra,Kurukshetra,Haryana
Shahbad Grain,132135,Kurukshetra,Kurukshetra,Haryana
Shahbad Markhanda,132135,Kurukshetra,Kurukshetra,Haryana
Thol,132136,Kurukshetra,Kurukshetra,Haryana
Umri,132137,Kurukshetra,Kurukshetra,Haryana
Habri,132138,Kaithal,Kaithal,Haryana
Habri,132138,Karnal,Karnal,Haryana
Bursham,132139,Karnal,Karnal,Haryana
Biholi,132140,Karnal,Karnal,Haryana
Buana Lakhu,132141,Karnal,Karnal,Haryana
Dahar,132142,Karnal,Karnal,Haryana
Dikadia,132143,Karnal,Karnal,Haryana
Jaurasi,132144,Karnal,Karnal,Haryana
Naultha,132145,Karnal,Karnal,Haryana
Ahar,132146,Karnal,Karnal,Haryana
Kurar,132147,Karnal,Karnal,Haryana
Kohand,132148,Karnal,Karnal,Haryana
Mahoti,132149,Karnal,Karnal,Haryana
Naraina,132150,Karnal,Karnal,Haryana
Noorwala,132151,Karnal,Karnal,Haryana
Rampura,132152,Karnal,Karnal,Haryana
Sonepat Mandi,132153,Karnal,Karnal,Haryana
Staundi,132153,Karnal,Karnal,Haryana
Babail,132154,Karnal,Karnal,Haryana
Kurana,132155,Panipat,Panipat,Haryana
Ambala,133001,Ambala,Ambala,Haryana
Ambala A K Lines,133001,Ambala,Ambala,Haryana
Ambala Alexendra Road,133001,Ambala,Ambala,Haryana
Ambala B C Bazar,133001,Ambala,Ambala,Haryana
Ambala Cantt,133001,Ambala,Ambala,Haryana
Ambala Hargolal,133001,Ambala,Ambala,Haryana
Ambala I A F Lines,133001,Ambala,Ambala,Haryana
Ambala Kacha Bazar,133001,Ambala,Ambala,Haryana
Ambala Lal Kurti Bzr,133001,Ambala,Ambala,Haryana
Ambala Mahesh,133001,Ambala,Ambala,Haryana
Ambala P&T Colony,133001,Ambala,Ambala,Haryana
Ambala Punjabi,133001,Ambala,Ambala,Haryana
Ambala Sadar Bazar,133001,Ambala,Ambala,Haryana
Ambala Topkhana,133001,Ambala,Ambala,Haryana
Commissioner Court,133001,Ambala,Ambala,Haryana
Mohalla,133001,Ambala,Ambala,Haryana
Ambala Cantt,133004,Ambala,Ambala,Haryana
Babyal,133005,Ambala,Ambala,Haryana
Boh,133021,Ambala,Ambala,Haryana
Bihta,133101,Ambala,Ambala,Haryana
Kesri,133102,Ambala,Ambala,Haryana
Mustafabad,133102,Mustafabad,Ambala,Haryana
Saha,133104,Ambala,Ambala,Haryana
Kalawar,133105,Ambala,Ambala,Haryana
Barara,133201,Ambala,Ambala,Haryana
Dhin,133202,Ambala,Ambala,Haryana
Mullana,133203,Ambala,Ambala,Haryana
Sadhaura,133204,Ambala,Ambala,Haryana
Adhoya,133205,Ambala,Ambala,Haryana
Sarawan,133206,Ambala,Ambala,Haryana
Ugala,133207,Ambala,Ambala,Haryana
Thambar,133208,Ambala,Ambala,Haryana
B C W Surajpur,133301,Ambala,Ambala,Haryana
Beas Project,133301,Ambala,Ambala,Haryana
Kaika Railway Station,133302,Ambala,Ambala,Haryana
Kalka,133302,Kalka,Ambala,Haryana
Kalka,133302,Panchkula,Panchkula,Haryana
Kalka Railway Station,133302,Panchkula,Panchkula,Haryana
Ambala City,134002,Ambala,Ambala,Haryana
Ambala City Kuthchery,134002,Ambala,Ambala,Haryana
Bazar Basti Ram,134002,Ambala,Ambala,Haryana
Civil Lines,134002,Ambala,Ambala,Haryana
D A V College,134002,Ambala,Ambala,Haryana
Motor Stand,134002,Ambala,Ambala,Haryana
Patel Nagar,134002,Ambala,Ambala,Haryana
Railway Road,134002,Ambala,Ambala,Haryana
Sabji Mandi,134002,Ambala,Ambala,Haryana
Ambala City,134003,Ambala,Ambala,Haryana
Ambala City Model Town,134003,Ambala,Ambala,Haryana
Ambala City Prem,134003,Ambala,Ambala,Haryana
Ambala City Session,134003,Ambala,Ambala,Haryana
Baldev Nagar,134007,Ambala,Ambala,Haryana
Panjokhera,134011,Ambala,Ambala,Haryana
Maneola,134012,Ambala,Ambala,Haryana
Pinjore H M T,134101,Ambala,Ambala,Haryana
Pinjore,134102,Pinjore,Ambala,Haryana
Crpf Punjore,134104,Ambala,Ambala,Haryana
Chandi Mandir,134107,Ambala,Ambala,Haryana
Panchkula Gurukul,134108,Ambala,Ambala,Haryana
Panchkula,134109,Ambala,Ambala,Haryana
Bhabat,134110,Ambala,Ambala,Haryana
Panchkula Sec 4,134112,Ambala,Ambala,Haryana
Panchkula Sec 15,134113,Ambala,Ambala,Haryana
Barwala,134118,Barwala,Ambala,Haryana
Jatwar,134201,Ambala,Ambala,Haryana
Shahzadpur,134202,Ambala,Ambala,Haryana
Naraingarh,134203,Naraingarh,Ambala,Haryana
Raipur Rani,134204,Raipur Rani,Ambala,Haryana
Morni,134205,Ambala,Ambala,Haryana
Patrehri,134206,Ambala,Ambala,Haryana
Auto Industries,135001,Ambala,Ambala,Haryana
Yamua Ngr Bhatia Ngr,135001,Ambala,Ambala,Haryana
Yamuna Nagar,135001,Ambala,Ambala,Haryana
Yamuna Nagar Rlwy Rd,135001,Ambala,Ambala,Haryana
Yamuna Nagar Sugar Mls,135001,Ambala,Ambala,Haryana
Yamuna Ngr Rampura Clny,135001,Ambala,Ambala,Haryana
Yamuna Ngr Workshop Rd,135001,Ambala,Ambala,Haryana
Jagadhri Courts,135002,Ambala,Ambala,Haryana
Jagadhri Courts,135002,Yamunanagar,Yamunanagar,Haryana
Jagadhri Workshop,135002,Ambala,Ambala,Haryana
Jagadhri Workshop,135002,Yamunanagar,Yamunanagar,Haryana
Jagadhri,135003,Jagadhri,Ambala,Haryana
Jagadhri,135003,Yamunanagar,Yamunanagar,Haryana
Jagadhri Town,135003,Ambala,Ambala,Haryana
Jagadhri Town,135003,Yamunanagar,Yamunanagar,Haryana
Khizrabad East,135021,Ambala,Ambala,Haryana
Buriya,135101,Ambala,Ambala,Haryana
Bilaspur,135102,Bilaspur,Ambala,Haryana
Chhachhrauli,135103,Chhachhrauli,Ambala,Haryana
Chhachhrauli,135103,Chhachhrauli,Yamunanagar,Haryana
Dadupur,135104,Ambala,Ambala,Haryana
Kharwan,135105,Ambala,Ambala,Haryana
Rup Nagar College,140001,Rupnagar,Rupnagar,Punjab
Rup Ngr Motar Terminus,140001,Rupnagar,Rupnagar,Punjab
Rupar H O,140001,Rupnagar,Rupnagar,Punjab
Morinda,140101,Morinda,Rupnagar,Punjab
Lutheri,140102,Rupnagar,Rupnagar,Punjab
Kurali,140103,Kurali,Rupnagar,Punjab
Sahauran,140104,Rupnagar,Rupnagar,Punjab
Mainpur,140108,Rupnagar,Rupnagar,Punjab
Khizrabad West,140109,Rupnagar,Rupnagar,Punjab
Sialba Majri,140110,Rupnagar,Rupnagar,Punjab
Bela,140111,Rupnagar,Rupnagar,Punjab
Chamkaur Sahib,140112,Rupnagar,Rupnagar,Punjab
Ghanauli,140113,Rupnagar,Rupnagar,Punjab
Bharatgarh,140114,Rupnagar,Rupnagar,Punjab
Kiratpur Sahib,140115,Rupnagar,Rupnagar,Punjab
Kotla Power House,140116,Rupnagar,Rupnagar,Punjab
Nurpur Bedi,140117,Rupnagar,Rupnagar,Punjab
Anandpur Sahib,140118,Anandpur Sahib,Rupnagar,Punjab
Takhatgarh,140119,Rupnagar,Rupnagar,Punjab
Ganguwal,140123,Rupnagar,Rupnagar,Punjab
Colony,140124,Rupnagar,Rupnagar,Punjab
Nangal Dam,140124,Rupnagar,Rupnagar,Punjab
Nangal Labour,140124,Rupnagar,Rupnagar,Punjab
Nangal Township,140124,Rupnagar,Rupnagar,Punjab
Nangal,140125,Nangal,Rupnagar,Punjab
F F Nangal,140126,Rupnagar,Rupnagar,Punjab
Nangal Factory Area,140126,Rupnagar,Rupnagar,Punjab
Nangal Sector 2,140126,Rupnagar,Rupnagar,Punjab
Naya Nangal,140126,Rupnagar,Rupnagar,Punjab
Mubarikpur,140201,Rupnagar,Rupnagar,Punjab
Ramgarh,140202,Rupnagar,Rupnagar,Punjab
Bhankarpur,140203,Rupnagar,Rupnagar,Punjab
Kharar,140301,Kharar,Rupnagar,Punjab
Kharar Mills Road,140301,Kharar,Rupnagar,Punjab
Manauli,140306,Rupnagar,Rupnagar,Punjab
Landran,140307,Rupnagar,Rupnagar,Punjab
Sohana,140308,Rupnagar,Rupnagar,Punjab
Industrial Area,140401,Patiala,Patiala,Punjab
Industrial Focal Point,140401,Patiala,Patiala,Punjab
Rajpura,140401,Rajpura,Patiala,Punjab
Rajpura H O,140401,Rajpura,Patiala,Punjab
Rajpura Township,140401,Rajpura,Patiala,Punjab
Sangatpursodhian,140405,Patiala,Patiala,Punjab
Hamayunpur,140406,Patiala,Patiala,Punjab
Sirhind,140406,Patiala,Patiala,Punjab
Sirhind City,140407,Patiala,Patiala,Punjab
Bassi,140412,Fatehgarh Sahib,Fatehgarh Sahib,Punjab
Gharuan,140413,Rupnagar,Rupnagar,Punjab
Shambhu,140417,Patiala,Patiala,Punjab
Lairu,140501,Patiala,Patiala,Punjab
Handesra,140502,Patiala,Patiala,Punjab
Dappar Ammunition Depot,140506,Patiala,Patiala,Punjab
Banur,140601,Patiala,Patiala,Punjab
Manakpur,140602,Patiala,Patiala,Punjab
Kauli,140701,Patiala,Patiala,Punjab
Ghanaur,140702,Ghanaur,Patiala,Punjab
Khamano Kalan,140801,Ludhiana,Ludhiana,Punjab
Sanghol,140802,Fatehgarh Sahib,Fatehgarh Sahib,Punjab
Mullanpur,140901,Fatehgarh Sahib,Fatehgarh Sahib,Punjab
Bharat Nagar,141001,Ludhiana,Ludhiana,Punjab
Chander Nagar,141001,Ludhiana,Ludhiana,Punjab
Civil Lines,141001,Ludhiana,Ludhiana,Punjab
Durga Puri,141001,Ludhiana,Ludhiana,Punjab
Gurdev Nagar,141001,Ludhiana,Ludhiana,Punjab
Ludhiana,141001,Ludhiana,Ludhiana,Punjab
Ludhiana Bus Stand,141001,Ludhiana,Ludhiana,Punjab
Ludhiana H O,141001,Ludhiana,Ludhiana,Punjab
Ludhiana Kutchery,141001,Ludhiana,Ludhiana,Punjab
P & T Colony Ludhiana,141001,Ludhiana,Ludhiana,Punjab
Sat Sang Rd Ludhiana,141001,Ludhiana,Ludhiana,Punjab
Sidhpeeth Ludhiana,141001,Ludhiana,Ludhiana,Punjab
Colony Ropar,141002,Ludhiana,Ludhiana,Punjab
Abdullapur Basti,141003,Ludhiana,Ludhiana,Punjab
G T Road Ludhiana,141003,Ludhiana,Ludhiana,Punjab
Industrial Colony Ludhiana,141003,Ludhiana,Ludhiana,Punjab
Industrial Estate,141003,Ludhiana,Ludhiana,Punjab
Janta Nagar,141003,Ludhiana,Ludhiana,Punjab
Labour Colony,141003,Ludhiana,Ludhiana,Punjab
Ludhiana,141003,Ludhiana,Ludhiana,Punjab
Millerganj,141003,Ludhiana,Ludhiana,Punjab
P A P Lines,141004,Ludhiana,Ludhiana,Punjab
P A U Ludhiana,141004,Ludhiana,Ludhiana,Punjab
Ludhiana,141005,Ludhiana,Ludhiana,Punjab
Neta Ji Nagar,141005,Ludhiana,Ludhiana,Punjab
Salem Tabri,141005,Ludhiana,Ludhiana,Punjab
Guru Nanak Engineering College,141006,Ludhiana,Ludhiana,Punjab
Ludhiana,141007,Ludhiana,Ludhiana,Punjab
Bagh Khazanchian,141008,Ludhiana,Ludhiana,Punjab
Baini Ram Street,141008,Ludhiana,Ludhiana,Punjab
Brahampuri Ludhiana,141008,Ludhiana,Ludhiana,Punjab
C M C Ludhiana,141008,Ludhiana,Ludhiana,Punjab
Girson Knitting Works,141008,Ludhiana,Ludhiana,Punjab
Ikbalganj Ludhiana,141008,Ludhiana,Ludhiana,Punjab
Jail Rd Ludhiana,141008,Ludhiana,Ludhiana,Punjab
Jalpat Rai Market,141008,Ludhiana,Ludhiana,Punjab
Kidwai Nagar,141008,Ludhiana,Ludhiana,Punjab
Ludhiana,141008,Ludhiana,Ludhiana,Punjab
Ludhiana Central,141008,Ludhiana,Ludhiana,Punjab
Madhopuri Ludhiana,141008,Ludhiana,Ludhiana,Punjab
Samrala Rd Ludhiana,141008,Ludhiana,Ludhiana,Punjab
Mullanpur Mandi,141101,Ludhiana,Ludhiana,Punjab
Dakha,141102,Ludhiana,Ludhiana,Punjab
Mohie,141103,Ludhiana,Ludhiana,Punjab
K C G S Sudhar,141104,Ludhiana,Ludhiana,Punjab
Saraba,141105,Ludhiana,Ludhiana,Punjab
Haliwara A D,141106,Ludhiana,Ludhiana,Punjab
Halwara,141107,Ludhiana,Ludhiana,Punjab
Pakhowal,141108,Ludhiana,Ludhiana,Punjab
Raikot,141109,Raikot,Ludhiana,Punjab
Jamalpur Awana,141111,Ludhiana,Ludhiana,Punjab
Kohara,141112,Ludhiana,Ludhiana,Punjab
Katni Kalan,141113,Ludhiana,Ludhiana,Punjab
Samrala,141114,Samrala,Ludhiana,Punjab
Samrala City,141114,Samrala,Ludhiana,Punjab
Machhiwara,141115,Machhiwara,Ludhiana,Punjab
Gill,141116,Ludhiana,Ludhiana,Punjab
Sihar,141117,Ludhiana,Ludhiana,Punjab
Frhlon,141118,Ludhiana,Ludhiana,Punjab
Malaudh,141119,Ludhiana,Ludhiana,Punjab
Sanehwal,141120,Ludhiana,Ludhiana,Punjab
Bahlolpur,141121,Ludhiana,Ludhiana,Punjab
Jaspal Bangar,141122,Ludhiana,Ludhiana,Punjab
Ghulal,141124,Ludhiana,Ludhiana,Punjab
Kila Raipur,141201,Ludhiana,Ludhiana,Punjab
Gujarwal,141202,Ludhiana,Ludhiana,Punjab
Narangwal,141203,Ludhiana,Ludhiana,Punjab
Ghungrana,141204,Ludhiana,Ludhiana,Punjab
Latala,141205,Ludhiana,Ludhiana,Punjab
Ghawaddi,141206,Ludhiana,Ludhiana,Punjab
Roorka Kalan,141302,Kapurthala,Kapurthala,Punjab
Samrai,141302,Kapurthala,Kapurthala,Punjab
Jandiala,141303,Jandiala,Kapurthala,Punjab
Partabpur,141305,Kapurthala,Kapurthala,Punjab
Partap Nagar,141305,Kapurthala,Kapurthala,Punjab
Bilga,141306,Kapurthala,Kapurthala,Punjab
Pasla,141307,Kapurthala,Kapurthala,Punjab
Talwan,141308,Kapurthala,Kapurthala,Punjab
Nurmahal,141309,Kapurthala,Kapurthala,Punjab
Motor Terminus,141310,Kapurthala,Kapurthala,Punjab
Nakodar,141310,Nakodar,Kapurthala,Punjab
Nakodar Mandi,141310,Nakodar,Kapurthala,Punjab
Railway Road,141310,Kapurthala,Kapurthala,Punjab
Dhesian Kahna,141311,Kapurthala,Kapurthala,Punjab
Mahatpur,141315,Kapurthala,Kapurthala,Punjab
Shanker,141316,Kapurthala,Kapurthala,Punjab
Sarih,141317,Kapurthala,Kapurthala,Punjab
Sidhwan,141318,Kapurthala,Kapurthala,Punjab
G M Khanna,141401,Ludhiana,Ludhiana,Punjab
Khanna H O,141401,Ludhiana,Ludhiana,Punjab
Nai Mandi Khanna,141401,Ludhiana,Ludhiana,Punjab
A S College Khanna,141402,Ludhiana,Ludhiana,Punjab
Bhari,141411,Fatehgarh Sahib,Fatehgarh Sahib,Punjab
Daheru,141412,Ludhiana,Ludhiana,Punjab
Dhamot,141413,Ludhiana,Ludhiana,Punjab
Isru,141414,Ludhiana,Ludhiana,Punjab
Jarg,141415,Ludhiana,Ludhiana,Punjab
Payal,141416,Payal,Ludhiana,Punjab
Rahawan,141417,Ludhiana,Ludhiana,Punjab
Rampur,141418,Ludhiana,Ludhiana,Punjab
Ghurani Kalan,141419,Ludhiana,Ludhiana,Punjab
Doraha,141421,Ludhiana,Ludhiana,Punjab
Grain Mkt Moga,142001,Ferozepur,Ferozepur,Punjab
Industrial Area Moga,142001,Ferozepur,Ferozepur,Punjab
Moga H O,142001,Moga,Moga,Punjab
Moga Kutchery,142001,Moga,Moga,Punjab
Moga Purana,142001,Moga,Moga,Punjab
Dalla,142011,Ferozepur,Ferozepur,Punjab
Baddowai,142021,Ludhiana,Ludhiana,Punjab
Lalton Kalan,142022,Ludhiana,Ludhiana,Punjab
Man,142023,Ludhiana,Ludhiana,Punjab
Sidhwan Khurd,142024,Ludhiana,Ludhiana,Punjab
Sowaddi,142025,Ludhiana,Ludhiana,Punjab
Jagraon City,142026,Ludhiana,Ludhiana,Punjab
Jagraon H O,142026,Ludhiana,Ludhiana,Punjab
Jagraon Tehsil,142026,Ludhiana,Ludhiana,Punjab
Ayali Kalan,142027,Ludhiana,Ludhiana,Punjab
Jodhan,142029,Ludhiana,Ludhiana,Punjab
Kamalpur,142030,Ludhiana,Ludhiana,Punjab
Hathur,142031,Ludhiana,Ludhiana,Punjab
Bassian,142032,Ludhiana,Ludhiana,Punjab
Sidhwan Bet,142033,Ludhiana,Ludhiana,Punjab
Manoke,142034,Ludhiana,Ludhiana,Punjab
Mallah,142035,Ludhiana,Ludhiana,Punjab
Galib Kalan,142036,Ludhiana,Ludhiana,Punjab
Badhni Kalan,142037,Badhni Kalan,Ferozepur,Punjab
Bilaspur,142039,Fatehgarh Sahib,Fatehgarh Sahib,Punjab
Buttar,142040,Ferozepur,Ferozepur,Punjab
Canal Colony,142040,Ferozepur,Ferozepur,Punjab
Bhinder,142041,Ferozepur,Ferozepur,Punjab
Dharamkot,142042,Dharamkot,Ferozepur,Punjab
Kot Isekhan,142043,Ferozepur,Ferozepur,Punjab
Makhu,142044,Makhu,Ferozepur,Punjab
Pattohira Singh,142046,Ferozepur,Ferozepur,Punjab
Ram Road Zira,142047,Ferozepur,Ferozepur,Punjab
Shahid Gurdas,142047,Ferozepur,Ferozepur,Punjab
Zira,142047,Zira,Ferozepur,Punjab
Ghall Kalan,142048,Ferozepur,Ferozepur,Punjab
Guru Tegh Bahadurgarh,142049,Ferozepur,Ferozepur,Punjab
Talwandi,142050,Ferozepur,Ferozepur,Punjab
Talwandi Bhai,142050,Talwandi Bhai,Ferozepur,Punjab
Fatehgarh Panjtoor,142051,Ferozepur,Ferozepur,Punjab
Ferozshah,142052,Ferozepur,Ferozepur,Punjab
Dhudike,142053,Ferozepur,Ferozepur,Punjab
Kokri Kalan,142054,Ferozepur,Ferozepur,Punjab
Nihal Singh Wala,142055,Ferozepur,Ferozepur,Punjab
Gholia Khurd,142056,Ferozepur,Ferozepur,Punjab
Samadh Bhal,142057,Ferozepur,Ferozepur,Punjab
Kishanpura,142058,Fatehgarh Sahib,Fatehgarh Sahib,Punjab
Ghall Khurd,142059,Ferozepur,Ferozepur,Punjab
Mudki,142060,Ferozepur,Ferozepur,Punjab
Manawan,142061,Ferozepur,Ferozepur,Punjab
Amritsar,143001,Amritsar,Amritsar,Punjab
Amritsar Bus Stand,143001,Amritsar,Amritsar,Punjab
Amritsar H O,143001,Amritsar,Amritsar,Punjab
Amritsar Kutchery,143001,Amritsar,Amritsar,Punjab
Azad Nagar,143001,Amritsar,Amritsar,Punjab
Bandho Road,143001,Amritsar,Amritsar,Punjab
Basti Ram,143001,Amritsar,Amritsar,Punjab
Chawal Mandi,143001,Amritsar,Amritsar,Punjab
Dhab,143001,Amritsar,Amritsar,Punjab
Durgiana Mandir,143001,Amritsar,Amritsar,Punjab
Hide Market,143001,Amritsar,Amritsar,Punjab
Lawrence Road Amritsar,143001,Amritsar,Amritsar,Punjab
Medical College Amritsar,143001,Amritsar,Amritsar,Punjab
Mewa Mandi,143001,Amritsar,Amritsar,Punjab
N R Locomotive Wk Shp,143001,Amritsar,Amritsar,Punjab
Nawankot,143001,Amritsar,Amritsar,Punjab
Rani Ka Bagh,143001,Amritsar,Amritsar,Punjab
Sadar Bazar,143001,Amritsar,Amritsar,Punjab
Seth Jagat,143001,Amritsar,Amritsar,Punjab
Steno House Agency,143001,Amritsar,Amritsar,Punjab
Amritsar,143002,Amritsar,Amritsar,Punjab
Jawala Fr Mls Amritsar,143003,Amritsar,Amritsar,Punjab
Khanna Ngr Amritsar,143004,Amritsar,Amritsar,Punjab
Amritsar,143006,Amritsar,Amritsar,Punjab
Chowk Darbar Sahib,143006,Amritsar,Amritsar,Punjab
Dass Niwas,143006,Amritsar,Amritsar,Punjab
Gandhi Bazar,143006,Amritsar,Amritsar,Punjab
Golden Temple Amritsar,143006,Amritsar,Amritsar,Punjab
Guru Ram,143006,Amritsar,Amritsar,Punjab
Hindu Sabha College,143006,Amritsar,Amritsar,Punjab
Kangra Colony,143006,Amritsar,Amritsar,Punjab
Katra Karam Singh,143006,Amritsar,Amritsar,Punjab
Katra Sher Singh,143006,Amritsar,Amritsar,Punjab
Kot Rallia Ram,143006,Amritsar,Amritsar,Punjab
Majitha Mandi,143006,Amritsar,Amritsar,Punjab
Mohan Nagar,143006,Amritsar,Amritsar,Punjab
Sultant Wind Gate,143006,Amritsar,Amritsar,Punjab
Sultanwind,143021,Amritsar,Amritsar,Punjab
Sultanwind Gate,143021,Amritsar,Amritsar,Punjab
Vijay Nagar Amritsar,143036,Amritsar,Amritsar,Punjab
Raja Sansi,143101,Amritsar,Amritsar,Punjab
Ajnala,143102,Ajnala,Amritsar,Punjab
Chamiari,143103,Amritsar,Amritsar,Punjab
Amritsar,143104,Amritsar,Amritsar,Punjab
Chheharta Railway Station,143105,Amritsar,Amritsar,Punjab
Naraingarh,143106,Amritsar,Amritsar,Punjab
Distillery Khasa,143107,Amritsar,Amritsar,Punjab
Attari,143108,Amritsar,Amritsar,Punjab
Chogawan,143109,Amritsar,Amritsar,Punjab
Preet Nagar,143110,Amritsar,Amritsar,Punjab
Khilchian,143111,Amritsar,Amritsar,Punjab
Raya,143112,Fatehgarh Sahib,Fatehgarh Sahib,Punjab
Rayon Silk Mills,143112,Amritsar,Amritsar,Punjab
Fatehpur Rajputan,143113,Amritsar,Amritsar,Punjab
Jandiala Guru,143115,Amritsar,Amritsar,Punjab
Tarsikka,143116,Amritsar,Amritsar,Punjab
Thermal Power,143116,Amritsar,Amritsar,Punjab
Khadur Sahib,143117,Amritsar,Amritsar,Punjab
Khalsa College,143117,Amritsar,Amritsar,Punjab
Vairowal,143118,Amritsar,Amritsar,Punjab
Mehta Chowk,143144,Amritsar,Amritsar,Punjab
Beas,143201,Amritsar,Amritsar,Punjab
Baba Bakala,143202,Amritsar,Amritsar,Punjab
Butala,143203,Amritsar,Amritsar,Punjab
Dera Baba Jaimal Singh,143204,Amritsar,Amritsar,Punjab
Sathiala,143205,Amritsar,Amritsar,Punjab
Chabhal,143301,Amritsar,Amritsar,Punjab
Sur Singh,143302,Amritsar,Amritsar,Punjab
Bhikhiwind,143303,Bhikhiwind,Amritsar,Punjab
Kacha Pacca,143304,Amritsar,Amritsar,Punjab
Khalra,143305,Amritsar,Amritsar,Punjab
Chowk Darbar Sahib,143401,Amritsar,Amritsar,Punjab
Tarn Tarn H O,143401,Amritsar,Amritsar,Punjab
Kang,143406,Amritsar,Amritsar,Punjab
Fatehbad,143407,Amritsar,Amritsar,Punjab
Chohla Sahib,143408,Amritsar,Amritsar,Punjab
Sarhali,143410,Amritsar,Amritsar,Punjab
Dhotian,143411,Amritsar,Amritsar,Punjab
Harike,143412,Amritsar,Amritsar,Punjab
Bundala Amritsar,143413,Amritsar,Amritsar,Punjab
Sarai Amanat Khan,143414,Amritsar,Amritsar,Punjab
Kairon,143415,Amritsar,Amritsar,Punjab
Patti,143416,Patti,Amritsar,Punjab
Sabra,143417,Amritsar,Amritsar,Punjab
Voltoha,143418,Amritsar,Amritsar,Punjab
Khem Karan,143419,Khem Karan,Amritsar,Punjab
Masatgarh,143420,Amritsar,Amritsar,Punjab
Gharyala,143421,Amritsar,Amritsar,Punjab
Goindwal,143422,Amritsar,Amritsar,Punjab
Verka,143501,Amritsar,Amritsar,Punjab
Kathu Nangal,143502,Amritsar,Amritsar,Punjab
Bhangali,143503,Amritsar,Amritsar,Punjab
Chawinda Deviwala,143504,Amritsar,Amritsar,Punjab
Anarkali Batala,143505,Gurdaspur,Gurdaspur,Punjab
Batala City,143505,Batala,Gurdaspur,Punjab
Batala H O,143505,Gurdaspur,Gurdaspur,Punjab
G Nanak Ngr Batala,143505,Gurdaspur,Gurdaspur,Punjab
G T Rd Batala,143505,Gurdaspur,Gurdaspur,Punjab
K Nagar Batala,143505,Gurdaspur,Gurdaspur,Punjab
N G Batala,143505,Gurdaspur,Gurdaspur,Punjab
R R Batala,143505,Gurdaspur,Gurdaspur,Punjab
Batala,143506,Batala,Gurdaspur,Punjab
Aliwal,143507,Gurdaspur,Gurdaspur,Punjab
Fateh Nangal,143508,Gurdaspur,Gurdaspur,Punjab
Zaffarwal,143510,Gurdaspur,Gurdaspur,Punjab
Bhagowal,143511,Gurdaspur,Gurdaspur,Punjab
Kalanaur,143512,Kalanaur,Gurdaspur,Punjab
Kala Afghana,143513,Gurdaspur,Gurdaspur,Punjab
Ghoman,143514,Gurdaspur,Gurdaspur,Punjab
Bhumbli,143515,Gurdaspur,Gurdaspur,Punjab
Dhariwal,143515,Dhariwal,Gurdaspur,Punjab
Sri Hargobindpur,143515,Sri Hargobindpur,Gurdaspur,Punjab
Qadian,143516,Qadian,Gurdaspur,Punjab
Bhattian,143517,Gurdaspur,Gurdaspur,Punjab
Maja Singh,143518,Gurdaspur,Gurdaspur,Punjab
Sohal,143520,Gurdaspur,Gurdaspur,Punjab
Gurdaspur,143521,Gurdaspur,Gurdaspur,Punjab
Gurdaspur City,143521,Gurdaspur,Gurdaspur,Punjab
Gurdaspur H O,143521,Gurdaspur,Gurdaspur,Punjab
Gurdaspur Kutchery,143521,Gurdaspur,Gurdaspur,Punjab
Gurdaspur Mandi,143521,Gurdaspur,Gurdaspur,Punjab
Gurdaspur Tibri Road,143521,Gurdaspur,Gurdaspur,Punjab
Trimu Rd,143521,Gurdaspur,Gurdaspur,Punjab
Kaler Kalan,143523,Gurdaspur,Gurdaspur,Punjab
Villa Teja,143524,Gurdaspur,Gurdaspur,Punjab
Dorangla,143526,Gurdaspur,Gurdaspur,Punjab
Harchowal,143527,Gurdaspur,Gurdaspur,Punjab
Kahnuwan,143528,Gurdaspur,Gurdaspur,Punjab
Tiber,143529,Gurdaspur,Gurdaspur,Punjab
Tibri,143530,Gurdaspur,Gurdaspur,Punjab
Dina Nagar,143531,Dina Nagar,Gurdaspur,Punjab
Gandhi Nagar Dina Nagar,143531,Gurdaspur,Gurdaspur,Punjab
Behrampur,143532,Fatehgarh Sahib,Fatehgarh Sahib,Punjab
Gharota,143533,Gurdaspur,Gurdaspur,Punjab
Taragarh,143534,Gurdaspur,Gurdaspur,Punjab
Marara,143535,Gurdaspur,Gurdaspur,Punjab
Awankha,143536,Gurdaspur,Gurdaspur,Punjab
Talibpur Pandoori,143537,Gurdaspur,Gurdaspur,Punjab
Ghani Ke Banger,143538,Gurdaspur,Gurdaspur,Punjab
Majitha,143601,Majitha,Amritsar,Punjab
Fatehgarh Churian,143602,Fatehgarh Churian,Gurdaspur,Punjab
Ram Dass,143603,Amritsar,Amritsar,Punjab
Dera Baba Nanak,143604,Dera Baba Nanak,Gurdaspur,Punjab
Dhianpur,143605,Gurdaspur,Gurdaspur,Punjab
Chetanpur,143606,Amritsar,Amritsar,Punjab
